dataset,embedding,rejection_method,classifier,num_known,num_unknown,seed,threshold,ACC_known,ACC_unknown,AUROC,OSCR
esc50,audiotovector,global_threshold,mahalanobis,10,40,0,-150.35028076171875,0.2625,0.003125,0.5423046875,0.15650390625000002
esc50,audiotovector,global_threshold,linear,40,10,0,0.5448014140129089,0.0375,0.0,0.50072265625,0.0041992187500000016
esc50,audiotovector,global_threshold,linear,30,20,0,0.5036620497703552,0.016666666666666666,0.0,0.5232291666666667,0.0014843749999999998
esc50,audiotovector,global_threshold,linear,20,30,0,0.7102264761924744,0.10625,0.0,0.5071354166666667,0.006041666666666667
esc50,audiotovector,global_threshold,linear,15,35,0,0.9144243597984314,0.075,0.0035714285714285713,0.5124702380952381,0.0037500000000000025
esc50,audiotovector,global_threshold,linear,10,40,0,0.9902821779251099,0.15,0.00625,0.4969921875,0.0046875
esc50,audiotovector,global_threshold,energy,40,10,0,7538.7001953125,0.0375,0.0125,0.4533203125,0.013417968749999998
esc50,audiotovector,global_threshold,energy,30,20,0,8562.83984375,0.016666666666666666,0.0,0.5850520833333334,0.011458333333333333
esc50,audiotovector,global_threshold,energy,20,30,0,8577.955078125,0.1,0.0,0.6257291666666667,0.056796875000000004
esc50,audiotovector,global_threshold,energy,15,35,0,9389.6708984375,0.075,0.0035714285714285713,0.6857440476190476,0.05040178571428572
esc50,audiotovector,global_threshold,energy,10,40,0,7984.8955078125,0.15,0.0,0.5742578125,0.11314453125
esc50,audiotovector,global_threshold,openmax,40,10,0,-319464.875,0.0375,0.0,0.5369140625000001,0.0244921875
esc50,audiotovector,global_threshold,openmax,30,20,0,-233174.71875,0.016666666666666666,0.0,0.4625520833333333,0.013151041666666665
esc50,audiotovector,global_threshold,openmax,20,30,0,-126313.8984375,0.10625,0.0,0.43476562500000004,0.0569140625
esc50,audiotovector,global_threshold,openmax,15,35,0,-126689.625,0.075,0.0,0.3749404761904762,0.04470238095238095
esc50,audiotovector,global_threshold,openmax,10,40,0,-114292.1015625,0.15,0.00625,0.414609375,0.0445703125
